hidden neurons,optimizer,batch size,epochs,F1 Score,Recall,Precision,learning rate,Fold,Loss,Time
20,SGD,1,10,0.6893574368226789,0.6872280410679449,0.7057917757174733,0.001,0.0,BCELoss,178.1418092250824
20,SGD,1,10,0.6843161515977045,0.6832956972147758,0.7121709609386915,0.001,1.0,BCELoss,181.53122973442078
20,SGD,1,10,0.6915929732603998,0.6902803886485629,0.7120027611117272,0.001,2.0,BCELoss,177.53004217147827
20,SGD,1,10,0.6905990525552084,0.6893985964530519,0.7144179071385901,0.001,3.0,BCELoss,184.04751229286194
20,SGD,1,10,0.6831183687278329,0.6824782788604357,0.7117904349915886,0.001,4.0,BCELoss,170.82865118980408
20,SGD,1,10,0.7220843624579867,0.7225085975122644,0.7217270682278445,0.01,0.0,BCELoss,177.07280659675598
20,SGD,1,10,0.7216781333987201,0.7186596392384933,0.7372582544030385,0.01,1.0,BCELoss,174.53852915763855
20,SGD,1,10,0.7204712442447134,0.7185433605870496,0.7260634135690363,0.01,2.0,BCELoss,182.08933091163635
20,SGD,1,10,0.7254465564023918,0.7243369872701556,0.7273076322836494,0.01,3.0,BCELoss,183.70222568511963
20,SGD,1,10,0.7090248520482754,0.7066558357384098,0.7306993918243849,0.01,4.0,BCELoss,187.29112100601196
20,SGD,1,10,0.7029598218895141,0.7115637250588005,0.7084698801525067,0.1,0.0,BCELoss,174.57409763336182
20,SGD,1,10,0.734720879427539,0.7315923031487119,0.7464124281494589,0.1,1.0,BCELoss,183.10962748527527
20,SGD,1,10,0.7218551647996602,0.7195195116979594,0.731310876064039,0.1,2.0,BCELoss,174.20112943649292
20,SGD,1,10,0.724521061002514,0.7269917582417582,0.7240975559432684,0.1,3.0,BCELoss,185.44780659675598
20,SGD,1,10,0.7143018109285375,0.7117443070401375,0.7373795447376187,0.1,4.0,BCELoss,181.67811107635498
20,SGD,1,20,0.7112171450261322,0.7084803773422721,0.7228151542040369,0.001,0.0,BCELoss,356.66608142852783
20,SGD,1,20,0.7096907019429618,0.7070697214775774,0.7306573693080882,0.001,1.0,BCELoss,355.7788116931915
20,SGD,1,20,0.7124418167368245,0.7101783570765293,0.7263098743846746,0.001,2.0,BCELoss,361.7638874053955
20,SGD,1,20,0.7099169499283597,0.7076228330250607,0.7275735915248005,0.001,3.0,BCELoss,358.9556565284729
20,SGD,1,20,0.7049426703771107,0.7028612666558425,0.7295334430196183,0.001,4.0,BCELoss,346.43145751953125
20,SGD,1,20,0.724061575362889,0.7245891011082906,0.7236347044784501,0.01,0.0,BCELoss,354.70371532440186
20,SGD,1,20,0.7308752169170789,0.7275573628969967,0.7471935483910772,0.01,1.0,BCELoss,357.0434830188751
20,SGD,1,20,0.7243200745320144,0.7219978257423052,0.7330060183718721,0.01,2.0,BCELoss,357.66110825538635
20,SGD,1,20,0.7301203995879825,0.7286589235846661,0.7329447418688599,0.01,3.0,BCELoss,353.2803797721863
20,SGD,1,20,0.7166518750487565,0.7139378366440505,0.7346837300212283,0.01,4.0,BCELoss,349.79565238952637
20,SGD,1,20,0.7300566117245413,0.7304839939483702,0.7296936064134161,0.1,0.0,BCELoss,360.8965005874634
20,SGD,1,20,0.7297301697265623,0.7264962060975055,0.7448815126298105,0.1,1.0,BCELoss,359.25149512290955
20,SGD,1,20,0.7210389180461776,0.7238182003487872,0.7208954740126785,0.1,2.0,BCELoss,357.2551238536835
20,SGD,1,20,0.7350900488522785,0.735258450295579,0.7349339016737952,0.1,3.0,BCELoss,354.3703010082245
20,SGD,1,20,0.7133725260810709,0.7109440142215784,0.7394135792731649,0.1,4.0,BCELoss,355.9310863018036
20,SGD,5,10,0.3639698064889881,0.5007733952049497,0.7842219622263078,0.001,0.0,BCELoss,35.75089955329895
20,SGD,5,10,0.3926542207792208,0.5135233313644418,0.7293805296094207,0.001,1.0,BCELoss,35.40095782279968
20,SGD,5,10,0.38116158907733777,0.5099847122505832,0.7564422495230118,0.001,2.0,BCELoss,35.70509624481201
20,SGD,5,10,0.3607686469269907,0.5005712109672505,0.7807955874979107,0.001,3.0,BCELoss,40.209638833999634
20,SGD,5,10,0.36661750414153593,0.5027220280725951,0.7511620603015076,0.001,4.0,BCELoss,37.821165800094604
20,SGD,5,10,0.7151998509692938,0.7128918113115814,0.721644607329595,0.01,0.0,BCELoss,36.34966850280762
20,SGD,5,10,0.7105844258391867,0.7079144895270116,0.7307055605026781,0.01,1.0,BCELoss,37.21421551704407
20,SGD,5,10,0.7124828220307274,0.7102655538694993,0.7235242211200462,0.01,2.0,BCELoss,36.93713879585266
20,SGD,5,10,0.7167145152277172,0.7142370933521924,0.7293864311509786,0.01,3.0,BCELoss,50.789215326309204
20,SGD,5,10,0.7033696377357836,0.7013546829468702,0.7277655859497778,0.01,4.0,BCELoss,38.77217769622803
20,SGD,5,10,0.722994602922125,0.7230360571352814,0.7229538213936213,0.1,0.0,BCELoss,38.857351779937744
20,SGD,5,10,0.7289826997097921,0.7258814575855332,0.7420655860830274,0.1,1.0,BCELoss,35.41837406158447
20,SGD,5,10,0.7218895294955944,0.7198213031957058,0.7284149951196495,0.1,2.0,BCELoss,39.32190155982971
20,SGD,5,10,0.728469831562615,0.7283382974286439,0.7286096226344871,0.1,3.0,BCELoss,37.44022583961487
20,SGD,5,10,0.7106803354473854,0.7082297581852874,0.7318538260105857,0.1,4.0,BCELoss,37.1310658454895
20,SGD,5,20,0.6255683796882769,0.6350094246881121,0.6915028884953697,0.001,0.0,BCELoss,73.42178535461426
