penalty,C,solver,max_iter,Fold,F1 Score,vector_size,window
l2,0.1,lbfgs,100,,0.7245347521296976,300.0,10.0
l2,0.1,lbfgs,200,,0.7246892142763821,300.0,10.0
l2,0.1,lbfgs,500,,0.7241122109065474,300.0,10.0
l2,1.0,lbfgs,100,,0.7312891658717837,300.0,10.0
l2,1.0,lbfgs,200,,0.7311338556254854,300.0,10.0
l2,1.0,lbfgs,500,,0.7297051328087687,300.0,10.0
l2,10.0,lbfgs,100,,0.7307540706056638,300.0,10.0
l2,10.0,lbfgs,200,,0.7290782659084938,300.0,10.0
l2,10.0,lbfgs,500,,0.7309629935204174,300.0,10.0
l2,100.0,lbfgs,100,,0.7301707546979836,300.0,10.0
l2,100.0,lbfgs,200,,0.7308160576602032,300.0,10.0
l2,100.0,lbfgs,500,,0.7314921685485198,300.0,10.0
l2,1000.0,lbfgs,100,,0.7293142870433988,300.0,10.0
l2,1000.0,lbfgs,200,,0.7283553920456558,300.0,10.0
l2,1000.0,lbfgs,500,,0.7334909892678041,300.0,10.0
