penalty,C,solver,max_iter,Fold,F1 Score,vector_size,window
l2,0.1,lbfgs,100,,0.7353077155640289,300.0,40.0
l2,0.1,lbfgs,200,,0.7366715635593855,300.0,40.0
l2,0.1,lbfgs,500,,0.7363234757385784,300.0,40.0
l2,1.0,lbfgs,100,,0.7396673400539097,300.0,40.0
l2,1.0,lbfgs,200,,0.7411420276051814,300.0,40.0
l2,1.0,lbfgs,500,,0.7411253619710702,300.0,40.0
l2,10.0,lbfgs,100,,0.7415903665208019,300.0,40.0
l2,10.0,lbfgs,200,,0.7418539893661411,300.0,40.0
l2,10.0,lbfgs,500,,0.7429978500733172,300.0,40.0
l2,100.0,lbfgs,100,,0.7410366838856954,300.0,40.0
l2,100.0,lbfgs,200,,0.7428891538891254,300.0,40.0
l2,100.0,lbfgs,500,,0.7420792005345762,300.0,40.0
l2,1000.0,lbfgs,100,,0.7406681089793837,300.0,40.0
l2,1000.0,lbfgs,200,,0.7431001814827383,300.0,40.0
l2,1000.0,lbfgs,500,,0.7420792005345762,300.0,40.0
