penalty,C,solver,max_iter,Fold,F1 Score,vector_size,window
l2,0.1,lbfgs,100,,0.7116092673192961,150.0,10.0
l2,0.1,lbfgs,200,,0.7126728927683017,150.0,10.0
l2,0.1,lbfgs,500,,0.7121278537533816,150.0,10.0
l2,1.0,lbfgs,100,,0.7136735632087492,150.0,10.0
l2,1.0,lbfgs,200,,0.7124017859326361,150.0,10.0
l2,1.0,lbfgs,500,,0.7124427071519825,150.0,10.0
l2,10.0,lbfgs,100,,0.7129859325809299,150.0,10.0
l2,10.0,lbfgs,200,,0.7122572499185402,150.0,10.0
l2,10.0,lbfgs,500,,0.7118274031315005,150.0,10.0
l2,100.0,lbfgs,100,,0.7115810435732466,150.0,10.0
l2,100.0,lbfgs,200,,0.712216593462792,150.0,10.0
l2,100.0,lbfgs,500,,0.7121758585086087,150.0,10.0
l2,1000.0,lbfgs,100,,0.712360786062149,150.0,10.0
l2,1000.0,lbfgs,200,,0.7118993877450319,150.0,10.0
l2,1000.0,lbfgs,500,,0.7118274031315005,150.0,10.0
