penalty,C,solver,max_iter,Fold,F1 Score,vector_size,window
l2,0.1,lbfgs,100,,0.7383492264426097,600.0,50.0
l2,0.1,lbfgs,200,,0.736890458347818,600.0,50.0
l2,0.1,lbfgs,500,,0.7380169816607773,600.0,50.0
l2,1.0,lbfgs,100,,0.7393702697156077,600.0,50.0
l2,1.0,lbfgs,200,,0.7389898230027949,600.0,50.0
l2,1.0,lbfgs,500,,0.7421622278692035,600.0,50.0
l2,10.0,lbfgs,100,,0.7378287871478137,600.0,50.0
l2,10.0,lbfgs,200,,0.7402652809657979,600.0,50.0
l2,10.0,lbfgs,500,,0.7457943590046173,600.0,50.0
l2,100.0,lbfgs,100,,0.7373264103239754,600.0,50.0
l2,100.0,lbfgs,200,,0.7393158019272148,600.0,50.0
l2,100.0,lbfgs,500,,0.7448785728487837,600.0,50.0
l2,1000.0,lbfgs,100,,0.7371505408308107,600.0,50.0
l2,1000.0,lbfgs,200,,0.7401089981822462,600.0,50.0
l2,1000.0,lbfgs,500,,0.7455142752054187,600.0,50.0
