penalty,C,solver,max_iter,Fold,F1 Score,vector_size,window
l2,0.1,lbfgs,100,,0.7234685898560407,600.0,10.0
l2,0.1,lbfgs,200,,0.7228768169151871,600.0,10.0
l2,0.1,lbfgs,500,,0.7227630368456404,600.0,10.0
l2,1.0,lbfgs,100,,0.7263726476329477,600.0,10.0
l2,1.0,lbfgs,200,,0.7278902083498007,600.0,10.0
l2,1.0,lbfgs,500,,0.728854245691981,600.0,10.0
l2,10.0,lbfgs,100,,0.7266876916643434,600.0,10.0
l2,10.0,lbfgs,200,,0.7261668743134959,600.0,10.0
l2,10.0,lbfgs,500,,0.7317793163117053,600.0,10.0
l2,100.0,lbfgs,100,,0.7270799013917754,600.0,10.0
l2,100.0,lbfgs,200,,0.7261582862636219,600.0,10.0
l2,100.0,lbfgs,500,,0.7309022029245064,600.0,10.0
l2,1000.0,lbfgs,100,,0.7266967690388313,600.0,10.0
l2,1000.0,lbfgs,200,,0.7245054671461237,600.0,10.0
l2,1000.0,lbfgs,500,,0.7334280230655248,600.0,10.0
