penalty,C,solver,max_iter,Fold,F1 Score,vector_size,window
l2,0.1,lbfgs,100,,0.7357153085420258,600.0,30.0
l2,0.1,lbfgs,200,,0.7349809062082506,600.0,30.0
l2,0.1,lbfgs,500,,0.7345520876972489,600.0,30.0
l2,1.0,lbfgs,100,,0.7371798548785606,600.0,30.0
l2,1.0,lbfgs,200,,0.7397023520090267,600.0,30.0
l2,1.0,lbfgs,500,,0.7412467456258838,600.0,30.0
l2,10.0,lbfgs,100,,0.7408823359686075,600.0,30.0
l2,10.0,lbfgs,200,,0.7396676792226387,600.0,30.0
l2,10.0,lbfgs,500,,0.7407606933446175,600.0,30.0
l2,100.0,lbfgs,100,,0.7390959308371782,600.0,30.0
l2,100.0,lbfgs,200,,0.7395812423225765,600.0,30.0
l2,100.0,lbfgs,500,,0.7400081902355091,600.0,30.0
l2,1000.0,lbfgs,100,,0.7389398605350903,600.0,30.0
l2,1000.0,lbfgs,200,,0.7398763664709688,600.0,30.0
l2,1000.0,lbfgs,500,,0.7428110562416613,600.0,30.0
