penalty,C,solver,max_iter,Fold,F1 Score,vector_size,window
l2,0.1,lbfgs,100,,0.72742507648423,150.0,30.0
l2,0.1,lbfgs,200,,0.7278483727913989,150.0,30.0
l2,0.1,lbfgs,500,,0.72742507648423,150.0,30.0
l2,1.0,lbfgs,100,,0.728035590857468,150.0,30.0
l2,1.0,lbfgs,200,,0.7289156177432583,150.0,30.0
l2,1.0,lbfgs,500,,0.7285682963053892,150.0,30.0
l2,10.0,lbfgs,100,,0.7291443605237241,150.0,30.0
l2,10.0,lbfgs,200,,0.7299942038770653,150.0,30.0
l2,10.0,lbfgs,500,,0.7294916113435654,150.0,30.0
l2,100.0,lbfgs,100,,0.7277308684137161,150.0,30.0
l2,100.0,lbfgs,200,,0.7297200494774129,150.0,30.0
l2,100.0,lbfgs,500,,0.7293362984818765,150.0,30.0
l2,1000.0,lbfgs,100,,0.7289156177432583,150.0,30.0
l2,1000.0,lbfgs,200,,0.7299942038770653,150.0,30.0
l2,1000.0,lbfgs,500,,0.7296469295412159,150.0,30.0
