penalty,C,solver,max_iter,Fold,F1 Score,vector_size,window
l2,0.1,lbfgs,100,,0.7383642089879332,300.0,50.0
l2,0.1,lbfgs,200,,0.7373356611264356,300.0,50.0
l2,0.1,lbfgs,500,,0.7374556052365759,300.0,50.0
l2,1.0,lbfgs,100,,0.7380035541251584,300.0,50.0
l2,1.0,lbfgs,200,,0.737725425296308,300.0,50.0
l2,1.0,lbfgs,500,,0.7377953774027365,300.0,50.0
l2,10.0,lbfgs,100,,0.7388134335329039,300.0,50.0
l2,10.0,lbfgs,200,,0.7395394812056166,300.0,50.0
l2,10.0,lbfgs,500,,0.7374824579366485,300.0,50.0
l2,100.0,lbfgs,100,,0.7401885805093534,300.0,50.0
l2,100.0,lbfgs,200,,0.7387456383663613,300.0,50.0
l2,100.0,lbfgs,500,,0.7364090710176894,300.0,50.0
l2,1000.0,lbfgs,100,,0.7412104891125522,300.0,50.0
l2,1000.0,lbfgs,200,,0.7363362943355662,300.0,50.0
l2,1000.0,lbfgs,500,,0.7373405188020303,300.0,50.0
