penalty,C,solver,max_iter,Fold,F1 Score,vector_size,window
l2,0.1,lbfgs,100,,0.7303634596600943,150.0,50.0
l2,0.1,lbfgs,200,,0.7292395632180242,150.0,50.0
l2,0.1,lbfgs,500,,0.72943215841978,150.0,50.0
l2,1.0,lbfgs,100,,0.7320415106840791,150.0,50.0
l2,1.0,lbfgs,200,,0.7320874991729264,150.0,50.0
l2,1.0,lbfgs,500,,0.7323160319681838,150.0,50.0
l2,10.0,lbfgs,100,,0.7325904543078031,150.0,50.0
l2,10.0,lbfgs,200,,0.7320050994202738,150.0,50.0
l2,10.0,lbfgs,500,,0.7320050994202738,150.0,50.0
l2,100.0,lbfgs,100,,0.7323160319681838,150.0,50.0
l2,100.0,lbfgs,200,,0.7321605628833965,150.0,50.0
l2,100.0,lbfgs,500,,0.7321605628833965,150.0,50.0
l2,1000.0,lbfgs,100,,0.7323160319681838,150.0,50.0
l2,1000.0,lbfgs,200,,0.7316212001238442,150.0,50.0
l2,1000.0,lbfgs,500,,0.7321605628833965,150.0,50.0
