penalty,C,solver,max_iter,Fold,F1 Score,vector_size,window
l2,0.1,lbfgs,100,,0.7270012916691915,150.0,40.0
l2,0.1,lbfgs,200,,0.725843166689941,150.0,40.0
l2,0.1,lbfgs,500,,0.7262301365119568,150.0,40.0
l2,1.0,lbfgs,100,,0.7265363603778505,150.0,40.0
l2,1.0,lbfgs,200,,0.7254895691981545,150.0,40.0
l2,1.0,lbfgs,500,,0.7267253396230842,150.0,40.0
l2,10.0,lbfgs,100,,0.726109384758117,150.0,40.0
l2,10.0,lbfgs,200,,0.7256026824050748,150.0,40.0
l2,10.0,lbfgs,500,,0.7256402386952703,150.0,40.0
l2,100.0,lbfgs,100,,0.7263399660812191,150.0,40.0
l2,100.0,lbfgs,200,,0.7256402386952703,150.0,40.0
l2,100.0,lbfgs,500,,0.7256402386952703,150.0,40.0
l2,1000.0,lbfgs,100,,0.7258372708204496,150.0,40.0
l2,1000.0,lbfgs,200,,0.7252551240547328,150.0,40.0
l2,1000.0,lbfgs,500,,0.7256402386952703,150.0,40.0
