penalty,C,solver,max_iter,Fold,F1 Score,vector_size,window
l2,0.1,lbfgs,100,,0.7338710382197619,600.0,40.0
l2,0.1,lbfgs,200,,0.7349139995330742,600.0,40.0
l2,0.1,lbfgs,500,,0.7353343162146477,600.0,40.0
l2,1.0,lbfgs,100,,0.7382788992008638,600.0,40.0
l2,1.0,lbfgs,200,,0.7400843111478974,600.0,40.0
l2,1.0,lbfgs,500,,0.7402752296848081,600.0,40.0
l2,10.0,lbfgs,100,,0.736807921982708,600.0,40.0
l2,10.0,lbfgs,200,,0.7388527495269417,600.0,40.0
l2,10.0,lbfgs,500,,0.7423981234732401,600.0,40.0
l2,100.0,lbfgs,100,,0.7374640703667963,600.0,40.0
l2,100.0,lbfgs,200,,0.7376044883577326,600.0,40.0
l2,100.0,lbfgs,500,,0.7432224741161186,600.0,40.0
l2,1000.0,lbfgs,100,,0.7382284494860889,600.0,40.0
l2,1000.0,lbfgs,200,,0.738540588724099,600.0,40.0
l2,1000.0,lbfgs,500,,0.7416933277192312,600.0,40.0
