penalty,C,solver,max_iter,Fold,F1 Score,vector_size,window
l2,0.1,lbfgs,100,,0.7302189761644053,300.0,20.0
l2,0.1,lbfgs,200,,0.7309561035974148,300.0,20.0
l2,0.1,lbfgs,500,,0.7306073752806261,300.0,20.0
l2,1.0,lbfgs,100,,0.7288166523541256,300.0,20.0
l2,1.0,lbfgs,200,,0.7331299602656386,300.0,20.0
l2,1.0,lbfgs,500,,0.7360893769205517,300.0,20.0
l2,10.0,lbfgs,100,,0.7309995463704722,300.0,20.0
l2,10.0,lbfgs,200,,0.7353170910079486,300.0,20.0
l2,10.0,lbfgs,500,,0.7389743840940705,300.0,20.0
l2,100.0,lbfgs,100,,0.7291153465015365,300.0,20.0
l2,100.0,lbfgs,200,,0.7365478511440817,300.0,20.0
l2,100.0,lbfgs,500,,0.7385061705614833,300.0,20.0
l2,1000.0,lbfgs,100,,0.731045038080214,300.0,20.0
l2,1000.0,lbfgs,200,,0.7352311049624618,300.0,20.0
l2,1000.0,lbfgs,500,,0.7376569979798213,300.0,20.0
