penalty,C,solver,max_iter,Fold,F1 Score,vector_size,window
l2,0.1,lbfgs,100,,0.7272749408395149,150.0,20.0
l2,0.1,lbfgs,200,,0.7261130564481451,150.0,20.0
l2,0.1,lbfgs,500,,0.7263459417662053,150.0,20.0
l2,1.0,lbfgs,100,,0.7264625289700458,150.0,20.0
l2,1.0,lbfgs,200,,0.7274662744077571,150.0,20.0
l2,1.0,lbfgs,500,,0.7280099683303897,150.0,20.0
l2,10.0,lbfgs,100,,0.7247980806728322,150.0,20.0
l2,10.0,lbfgs,200,,0.7275042951101661,150.0,20.0
l2,10.0,lbfgs,500,,0.7285514384873246,150.0,20.0
l2,100.0,lbfgs,100,,0.7260357310646057,150.0,20.0
l2,100.0,lbfgs,200,,0.7278523100589399,150.0,20.0
l2,100.0,lbfgs,500,,0.7283963972766706,150.0,20.0
l2,1000.0,lbfgs,100,,0.7262686749138108,150.0,20.0
l2,1000.0,lbfgs,200,,0.7281624014207642,150.0,20.0
l2,1000.0,lbfgs,500,,0.7283963972766706,150.0,20.0
