penalty,C,solver,max_iter,Fold,F1 Score,vector_size,window
l2,0.1,lbfgs,100,,0.7347951273532669,600.0,20.0
l2,0.1,lbfgs,200,,0.7339012530186061,600.0,20.0
l2,0.1,lbfgs,500,,0.7343259623992212,600.0,20.0
l2,1.0,lbfgs,100,,0.7327824732347346,600.0,20.0
l2,1.0,lbfgs,200,,0.7347219263771161,600.0,20.0
l2,1.0,lbfgs,500,,0.7351060308877888,600.0,20.0
l2,10.0,lbfgs,100,,0.7344836009200407,600.0,20.0
l2,10.0,lbfgs,200,,0.7336823497436074,600.0,20.0
l2,10.0,lbfgs,500,,0.7352969570120145,600.0,20.0
l2,100.0,lbfgs,100,,0.7374287901622818,600.0,20.0
l2,100.0,lbfgs,200,,0.7356704368134903,600.0,20.0
l2,100.0,lbfgs,500,,0.7364935781296101,600.0,20.0
l2,1000.0,lbfgs,100,,0.7375846787743409,600.0,20.0
l2,1000.0,lbfgs,200,,0.7351674036248999,600.0,20.0
l2,1000.0,lbfgs,500,,0.7371018198455009,600.0,20.0
